tmp.dat.subject.1.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38
141.csv,5,1,6,5,4,5,5,1,4,6,6,3,6,5,4,5,4,5,4,5,6,5,4,6,3,4,6,4,5,3,6,4,4,5,6,6,6,7
142.csv,1,1,5,5,6,5,6,2,4,5,6,5,4,5,6,5,6,5,1,1,1,1,1,3,1,1,1,1,2,1,6,3,5,4,6,3,4,6
143.csv,4,3,4,5,4,5,5,2,7,6,6,5,5,6,5,5,4,5,4,4,4,3,5,5,3,6,4,5,4,5,5,4,5,5,6,4,6,6
144.csv,2,1,4,1,7,4,2,1,1,5,6,5,5,5,4,6,2,5,1,7,1,1,1,1,1,1,6,6,4,5,5,1,4,6,7,4,5,5
145.csv,6,4,4,6,3,6,3,2,4,5,4,6,4,6,6,6,5,4,4,3,4,6,4,5,2,3,2,2,6,3,5,4,5,6,6,4,5,7
146.csv,5,4,4,5,2,6,5,3,4,6,6,4,5,5,6,6,5,4,6,4,1,1,1,1,1,4,6,5,5,3,6,3,6,6,6,3,6,7
147.csv,6,2,5,3,6,7,7,3,6,5,6,5,5,5,6,6,1,5,1,1,1,1,1,1,1,4,5,1,1,2,5,2,7,7,6,4,6,7
148.csv,3,2,3,4,3,5,5,2,3,3,5,2,3,5,4,5,6,4,1,1,1,1,1,1,1,4,3,1,2,6,2,2,4,5,5,3,4,7
149.csv,3,2,4,4,2,4,4,1,3,5,6,5,5,4,7,6,5,5,6,5,6,6,1,6,6,5,5,5,6,6,6,2,2,5,7,5,6,7
15.csv,7,2,5,7,5,7,7,3,4,7,7,3,5,6,7,7,7,6,2,1,1,1,1,1,1,1,7,3,1,1,6,5,5,7,7,5,5,7
150.csv,7,4,6,6,5,6,6,4,3,7,7,6,7,6,7,7,7,5,7,6,6,5,1,4,1,5,5,7,6,6,5,3,7,7,7,6,6,7
151.csv,5,3,7,5,3,6,6,6,4,5,6,2,6,6,6,6,4,6,4,2,1,1,1,4,1,3,2,4,6,1,5,2,6,6,6,5,6,7
152.csv,1,1,4,2,1,4,6,2,4,5,6,2,2,5,5,3,1,6,1,1,1,1,1,1,1,3,3,1,1,1,5,1,2,5,6,3,4,6
153.csv,7,4,5,5,6,7,6,4,6,5,6,3,5,6,6,5,3,5,2,1,7,5,3,7,5,4,7,6,3,7,7,5,2,6,7,5,6,7
154.csv,5,2,6,6,4,6,6,4,5,6,7,3,6,6,6,6,6,6,6,6,7,3,6,6,2,4,7,7,6,6,6,4,2,2,7,5,6,7
155.csv,7,5,7,7,1,7,7,3,4,7,7,7,7,7,7,7,3,7,7,1,6,3,1,6,2,4,7,4,5,1,7,5,7,7,7,7,7,7
156C.csv,4,4,6,5,2,6,6,1,5,4,7,4,5,6,6,5,5,6,7,3,1,1,1,1,1,5,7,5,5,6,5,3,5,1,6,4,6,7
157.csv,2,1,4,2,1,2,2,2,2,7,6,2,1,5,5,5,5,3,6,2,1,1,1,5,3,7,6,3,3,3,5,3,2,5,7,3,3,7
158.csv,6,2,6,5,2,3,2,1,3,5,5,6,5,2,6,6,3,6,6,6,5,5,3,5,3,2,5,4,4,3,5,2,4,5,6,3,3,6
159.csv,5,1,5,3,1,2,6,4,3,6,6,7,6,7,7,6,7,6,6,5,4,5,3,5,3,1,6,5,4,4,5,3,1,7,7,6,7,7
16.csv,7,5,7,7,4,7,6,5,7,7,7,7,6,6,7,7,7,6,7,7,7,6,6,7,6,7,7,7,6,5,7,6,7,7,7,7,7,7
160.csv,1,2,5,3,2,5,6,3,3,5,6,4,4,5,6,5,3,5,2,1,4,3,1,5,2,4,6,4,4,4,4,3,2,5,6,3,4,5
161C.csv,2,2,5,5,2,3,5,5,1,4,6,3,5,6,5,5,6,5,2,1,1,1,1,1,1,5,5,2,2,3,6,5,6,5,6,3,6,7
162C.csv,7,3,7,7,7,7,3,3,7,4,7,7,7,6,7,7,7,7,7,7,6,5,6,6,2,6,6,5,5,7,7,4,7,7,7,6,7,7
163.csv,5,2,6,6,2,7,6,6,4,4,6,6,3,6,6,2,2,5,6,3,5,5,1,5,2,5,2,1,2,6,5,2,5,6,6,2,5,6
164.csv,3,2,3,3,2,5,6,5,3,4,6,5,3,4,6,5,5,4,5,2,5,5,5,5,2,3,5,4,4,2,5,4,1,5,5,4,3,6
165.csv,6,4,6,2,2,6,6,3,4,6,6,3,5,5,6,6,3,6,2,2,3,3,3,4,2,2,4,4,4,3,6,5,6,6,6,5,6,7
166C.csv,3,3,6,5,5,6,6,3,3,6,7,5,5,6,5,5,5,5,6,5,6,5,7,6,2,6,5,5,5,4,3,1,3,7,7,5,7,7
167.csv,5,3,1,6,3,5,4,4,7,2,5,5,1,5,4,6,1,5,1,1,1,1,1,1,1,3,1,1,1,7,5,3,5,5,7,3,5,6
